NO,TICKER,PCC
0,ADS.DE,-1.952555408499817e-17
1,ALV.DE,-4.583554760025857e-17
2,BAS.DE,3.819851449531074e-17
3,BAYN.DE,-5.4980606672260477e-17
4,BEI.DE,5.27925032002783e-17
5,BMW.DE,-2.222559320693562e-18
6,CON.DE,-5.498792591572124e-17
7,1COV.DE,4.291438542275024e-18
8,DAI.DE,-1.5580111531401612e-17
9,DBK.DE,-9.034352239598964e-18
10,DB1.DE,3.2211164898074645e-17
11,LHA.DE,9.986878117508736e-18
12,DPW.DE,2.270258775763044e-17
13,DTE.DE,-2.5949190716937313e-17
14,EOAN.DE,-3.3788016496701996e-17
15,FRE.DE,2.893794297629241e-17
16,FME.DE,-1.617324602105978e-17
17,HEI.DE,3.585434882370288e-18
18,HEN3.DE,7.185897193400254e-18
19,IFX.DE,-2.42212949982657e-17
20,LIN.DE,-1.9548274546094114e-17
21,MRK.DE,2.305538675384061e-17
22,MTX.DE,-3.441892703375233e-17
23,MUV2.DE,0.0
24,RWE.DE,-4.236282916678322e-17
25,SAP.DE,-2.3228254210095595e-18
26,SIE.DE,-6.937923597820191e-17
27,VOW3.DE,-3.7775971809870626e-17
28,VNA.DE,-5.1321444689622196e-17
29,WDI.DE,5.4858537647944445e-17
